url;Perfume;Brand;Country;Gender;rating_value;rating_count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
https://www.fragrantica.com/perfume/viktor-rolf/spicebomb-13857.html;spicebomb;viktor-rolf;Netherlands;men;4.3;11529;2012;pink pepper, elemi, bergamot, grapefruit;cinnamon, saffron, paprika;tobacco, leather, vetiver;warm spicy;cinnamon;tobacco;sweet;soft spicy
https://www.fragrantica.com/perfume/parfums-de-marly/layton-39314.html;layton;parfums-de-marly;France;unisex;4.46;11455;2016;apple, lavender, bergamot, mandarin orange;geranium, violet, jasmine;vanilla, cardamom, sandalwood, pepper, guaiac wood, patchouli;warm spicy;vanilla;fresh spicy;woody;aromatic
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-427.html;classique;jean-paul-gaultier;France;women;3.92;11424;1993;orange blossom, star anise, rose, mandarin orange, pear, bergamot;ylang-ylang, ginger, orchid, iris, tuberose, plum;vanilla, amber, musk, cinnamon, sandalwood;white floral;sweet;powdery;citrus;vanilla
https://www.fragrantica.com/perfume/tom-ford/lost-cherry-51411.html;lost-cherry;tom-ford;USA;unisex;4.13;11354;2018;bitter almond, black cherry, cherry liqueur;sour cherry, plum, turkish rose, jasmine sambac;vanilla, tonka bean, cinnamon, peru balsam, benzoin, sandalwood, cloves, cedar, patchouli, vetiver;cherry;sweet;almond;nutty;fruity
https://www.fragrantica.com/perfume/dolce-gabbana/the-one-for-men-eau-de-parfum-31909.html;the-one-for-men-eau-de-parfum;dolce-gabbana;Italy;men;4.49;11353;2015;grapefruit, coriander, basil;cardamom, ginger, orange blossom;amber, tobacco, cedar;warm spicy;amber;tobacco;citrus;aromatic
https://www.fragrantica.com/perfume/juicy-couture/viva-la-juicy-4410.html;viva-la-juicy;juicy-couture;USA;women;3.97;11351;2008;wild berries, mandarin orange;gardenia, honeysuckle, jasmine;caramel, praline, vanilla, amber, sandalwood;sweet;white floral;caramel;fruity;vanilla
https://www.fragrantica.com/perfume/tom-ford/ombre-leather-2018-50239.html;ombre-leather-2018;tom-ford;USA;unisex;4.34;11278;2018;cardamom;leather, jasmine sambac;amber, moss, patchouli;leather;animalic;warm spicy;white floral;amber
https://www.fragrantica.com/perfume/dior/sauvage-elixir-68415.html;sauvage-elixir;dior;France;men;4.33;11229;2021;nutmeg, cinnamon, cardamom, grapefruit;lavender;licorice, sandalwood, amber, patchouli, haitian vetiver;warm spicy;fresh spicy;woody;aromatic;lavender
https://www.fragrantica.com/perfume/lancome/la-nuit-tresor-29157.html;la-nuit-tresor;lancome;France;women;4.07;11052;2015;pear, tangerine, bergamot;strawberry, vanilla orchid, black rose, passionfruit;praline, caramel, litchi, vanilla, patchouli, incense, coffee, licorice, coumarin, papyrus;sweet;fruity;vanilla;caramel;warm spicy
https://www.fragrantica.com/perfume/prada/prada-l-homme-39029.html;prada-l-homme;prada;Italy;men;4.43;11046;2016;neroli, black pepper, cardamom, carrot seeds;iris, violet, geranium, mate;amber, cedar, sandalwood, patchouli;powdery;iris;violet;woody;fresh spicy
https://www.fragrantica.com/perfume/guerlain/samsara-eau-de-parfum-55.html;samsara-eau-de-parfum;guerlain;France;women;4.06;10985;1989;ylang-ylang, peach, bergamot, green notes, lemon;iris, jasmine, narcissus, orris root, rose, violet;sandalwood, vanilla, iris, amber, tonka bean, musk;powdery;woody;yellow floral;vanilla;iris
